paragraph,label
"A Megrendelő elállása, illetve felmondása esetén a minőségileg és mennyiségileg már átvett részteljesítések ellenértéke a Vállalkozót illeti meg, azt a Megrendelő az egyébként megállapodott módon köteles megfizetni.  ",4
8.4.2. Vállalkozás megrendelése esetén a hiba miatti követelés az áru átvételétől számított 1 éven belül elévül.,4
"Ha a fogyasztó hibás teljesítésre hivatkozva kívánja megszüntetni a szerződést, az Eladót terheli annak bizonyítása, hogy a hiba jelentéktelen.",4
"Menetjegyek, bérletek, egyéb utazásra jogosító igazolványok árusítása a Szolgáltató pénztáraiban, honlapján, automatáiból, mobilalkalmazásokban (Közlekedési Mobiljegy és társszolgáltatói vagy MÁV és MÁV+ applikációk), valamint megbízott más értékesítőknél, illetve az autóbusz-vezetőknél az utazás megkezdésekor történik. A Szolgáltató az autóbusz-vezetőknél váltható utazási igazolványok körét korlátozza, amely – az 1.2. pontban foglalt eset kivételével – nem terjed ki az adott az autóbuszjáratra felszállók részére történő menetjegy kiadására. A korlátozás szabályait jelen fejezet „3. Jegyváltás az autóbusz-vezetőnél” és „4. Bérletvásárlás” pontjai tartalmazzák.",1
4.7. A Termék visszaszállítása a Felek megállapodása alapján történik. A visszaszállítás költsége a hibás teljesítés miatti felelőssége megállapítása esetén az Eladót terheli.,3
"9.6. A termékek minőségével, biztonságosságával és a termékfelelősségi szabályok alkalmazásával, valamint a szerződés megkötésével és teljesítésével kapcsolatos fogyasztói jogvita bíróságon kívüli, békés rendezése céljából Vevő eljárást kezdeményezhet a lakóhelye szerint illetékes szakmai kamara mellett működő békéltető testületnél. A békéltető testületek illetékességi területe a megyei kereskedelmi és iparkamarák illetékességi területéhez igazodik (2008. évi XLII. törvény 20.§ (5) bekezdés).",1
A vasúti társaság a közszolgáltatás megrendelője által előírt kedvezmények igénybevételének feltételeit jelen Üzletszabályzaton kívül hirdetményben a vasúti társaság honlapján és az akció jellege szerinti célcsoport eléréséhez megfelelő kommunikációs csatornákon keresztül folyamatosan aktualizálva teszi közzé.,2
"26. A Hitelszerződés bármely fél részéről történő felmondása, illetve a Hitelszerződés érvénytelenségének megállapítása esetén, amennyiben a Hitelfelvevő a Diákhitel Központtal szemben fennálló teljes tartozását nem egyenlíti ki, a Diákhitel Központ az ebből eredő követelését az MKK Magyar Követeléskezelő Zártkörűen Működő Részvénytársaságra engedményezi adásvétel jogcímén.",3
"90. Az Alza a számviteli szabályoknak megfelelő bizonylatot (számlát) állít ki, a Webáruházban történő vásárláskor azt elektronikusan bocsátja a Fogyasztó rendelkezésére, míg a bemutatóteremben (fizikai üzlethelyiségben) való vásárláskor papír alapon. A számla egyben magában foglalja a jótállási jegyet (amennyiben a termékre jótállás vonatkozik), illetve tartós adathordozó termék vásárlásakor az adattörlő kódot is a számla tartalmazza (az adatok végleges hozzáférhetetlenné tételét lehetővé tevő alkalmazás biztosításával kapcsolatos eljárási szabályok meghatározásáról szóló 726/2020. (XII.) Korm. rendelet 8 §-ának (1) bekezdése értelmében).",2
"57. A Fogyasztó az Alza ügyfélszolgálati munkatársának segítségével telefonon vagy e-mailen keresztül is köthet szerződést. Ilyen esetekben a szerződés az ügyfélszolgálat által a Fogyasztó részére küldött visszaigazoló e-maillel jön létre, azonos módon, mint a Webáruházon keresztül történő szerződéskötéskor.",4
A fogyasztó a digitális tartalomnak a szerződés megszüntetését megelőző időszakra vonatkozó használatáért a szerződésszerűen teljesített szolgáltatással arányos díjat köteles fizetni.,3
A szerződés megszüntetése esetén a fogyasztó tartózkodni köteles a digitális tartalom használatától és ezek elérhetővé tételétől harmadik személy számára.,4
"72. A Fogyasztó tudomásul veszi, hogy az előrendelt termékek szállítási határidejét jogosult megváltoztatni, melyről a Fogyasztót észszerű időben tájékoztatja.",4
"4.4. A Szolgáltató a vásárlást csak akkor tudja elfogadottnak tekinteni, ha a Felhasználó a rendeléshez szükséges adatokat maradéktalanul megadta, az ÁSZF rendelkezéseit a szerződéskötést megelőzően megismerte, elfogadta.",4
"42. Az e-mail útján tett vagy közölt nyilatkozatok a másik fél számára akkor tekinthetők megérkezettnek, amikor azok a címzett részére hozzáférhetővé válnak. Az Alza kizárja a felelősséget az olyan esetekre vonatkozóan, amikor a Fogyasztó levelező rendszerének technikai vagy beállítási hibája, telítettsége miatt az Alza által küldött e-mailek a Fogyasztó számára nem válnak hozzáférhetővé, vagy a Fogyasztó a megrendelés során hibás e-mail címet adott meg az Alza részére, vagy a Fogyasztó az Alza egyébként kézbesített e-mail üzenetét nem nyitja meg, nem olvassa el.",3
"A Megrendelő köteles a munkaterületet munkavégzésre alkalmas állapotban a Vállalkozó rendelkezésére bocsátani. A Vállalkozó a teljesítés megkezdését mindaddig megtagadhatja, amíg a Megrendelő e kötelezettségének nem tesz eleget. Ez esetben a Megrendelő biztosítja a munkavégzéshez szükséges áramot, illetve egyéb közműveket. A teljesítés helyéhez való hozzáférés joga nem lehet kizárólag a Vállalkozóé. ",4
"13.4 A BKM NONPROFIT Zrt-t a Felhasználó, illetőleg a harmadik személy tulajdonát képező felhasználói berendezések nem megfelelő működéséből eredő elégtelen szolgáltatásért felelősség nem terheli.",4
Korm. rendelet: a fogyasztó és a vállalkozás közötti szerződések részletes szabályairól szóló 45/2014. (II. 26.) Korm. rendelet,1
"a) a szolgáltatásokhoz szükséges személyi és tárgyi feltételek vizsgálatára - ideértve a helyszíni ellenőrzést is,",4
"11.5 A fenti bejelentéseknek tartalmaznia kell az új Felhasználó vagy Díjfizető személyének azonosításához szükséges adatokat, a felhasználási hely, illetőleg az épületrész megjelölését és a változás időpontját. A tulajdonváltozást erre alkalmas okirat bemutatásával kell igazolni. A BKM NONPROFIT Zrt. a számlázást a bejelentésben megjelölt időponttól, késedelmes bejelentés esetén az annak beérkezését követő időponttól módosítja.",2
4. A Hitelkártya újragyártása,4
"14.8 A BKM NONPROFIT Zrt. a Szerződést csak a Felhasználó jogszabályban meghatározott szerződésszegése esetén (lásd e szerződés 13. pontját) mondhatja fel, továbbá akkor, ha tudomást szerez a Felhasználó távhővételezésének a felhasználási helyen való megszüntetéséről. Ebben az esetben a Szerződés felmondása miatt az épületben, épületrészekben bekövetkező kár a Felhasználót terheli.",4
"(11) A Bank a Kincstári Kártyákra vonatkozó Keretmegállapodás figyelembe vételével jogosult a termék vagy szolgáltatás kivezetése/módosítása esetén a Szerződő fél számára a kivezetett/módosított termék vagy szolgáltatás helyett, azzal egyenértékű vagy magasabb színvonalú termék vagy szolgáltatás rendelkezésre bocsátására a szerződés egyoldalú módosításával, oly módon, hogy a módosítást a termék vagy szolgáltatás kivezetését/módosítását 30 nappal megelőzően a Kincstár honlapján Hirdetmény útján közzé teszi.",3
